intent,description
accept_reservations,"This intent is about: reservations, take reservations, take, does, reservations at, at, they take, they"
account_blocked,"This intent is about: account, why, bank account, bank, my bank, my, hold, my account"
alarm,"This intent is about: alarm, an alarm, alarm for, set, an, for, set an, tomorrow"
application_status,"This intent is about: application, card application, credit card, card, credit, my credit, my, has"
apr,"This intent is about: apr, the apr, card, apr on, credit card, card apr, my, credit"
are_you_a_bot,"This intent is about: are you, are, you, or, real, person, human, bot"
balance,"This intent is about: balance, bank, my, my bank, account, in my, money, in"
bill_balance,"This intent is about: bill, how much, much, bills, my, how, owe, much is"
bill_due,"This intent is about: due, bill, when, is, bill due, my, pay, is due"
book_flight,"This intent is about: flight, from, flight from, to, on, march, me flight, returning"
book_hotel,"This intent is about: hotel, in, hotel in, from, room, near, to, book"
calculator,"This intent is about: what is, is, what, times, of, square, square root, root of"
calendar,"This intent is about: calendar, my calendar, calendar for, on, on my, for, march, my"
calendar_update,"This intent is about: calendar, my calendar, calendar for, my, on, remove, for, add"
calories,"This intent is about: calories, many calories, how many, many, in, calories in, calories are, calorie"
cancel,"This intent is about: stop, cancel, cancel that, that, please, you, talking, process"
cancel_reservation,"This intent is about: reservation, cancel, cancel my, my reservation, dinner, the reservation, at, reservation for"
car_rental,"This intent is about: car, rental, rent, rent car, in, rental car, car rental, car in"
card_declined,"This intent is about: my card, declined, card, why, was, card was, yesterday, my"
carry_on,"This intent is about: carry, carry on, on, ons, carry ons, the carry, delta, restrictions"
change_accent,"This intent is about: male, voice, accent, male voice, british, female, female voice, the male"
change_ai_name,"This intent is about: name, your name, your, change your, change, name to, to, you"
change_language,"This intent is about: language, to, your language, in, french, your, spanish, english"
change_speed,"This intent is about: speak, slow, speech, your, speed, faster, you, down"
change_user_name,"This intent is about: call me, call, me, name, you can, my name, can call, you"
change_volume,"This intent is about: volume, the volume, volume to, increase, turn, the, your, please"
confirm_reservation,"This intent is about: reservation, at, confirm, my reservation, reservation for, confirm my, for, pm"
cook_time,"This intent is about: how long, long, cook, how, long should, long do, should, to cook"
credit_limit,"This intent is about: limit, credit limit, credit, my, limit on, card, on my, my visa"
credit_limit_change,"This intent is about: limit, credit limit, credit, increase, increase my, my credit, my, can increase"
credit_score,"This intent is about: score, credit score, my credit, credit, my, rating, credit rating, find"
current_location,"This intent is about: location, my location, my current, current location, current, map, my, where am"
damaged_card,"This intent is about: card, my card, report, my, damaged, card is, it, to report"
date,"This intent is about: date, the date, today, what, tomorrow, is, today date, the"
definition,"This intent is about: definition, what, mean, definition of, the definition, of, what is, the"
direct_deposit,"This intent is about: direct, direct deposit, deposit, up direct, set up, up, set, to set"
directions,"This intent is about: to, the, bus, get to, to the, nearest, the nearest, closest"
distance,"This intent is about: get to, to, long, it take, take, how long, to get, take to"
do_you_have_pets,"This intent is about: pets, you, you have, do you, of pets, have, or, do"
exchange_rate,"This intent is about: dollars, exchange, yen, exchange rate, rate, the exchange, pesos, euros"
expiration_date,"This intent is about: card, expire, expiration, my, date, expires, expiration date, card expires"
find_phone,"This intent is about: phone, my phone, my, find my, find, help, where, phone is"
flight_status,"This intent is about: flight, my flight, when, my, dl123, flight dl123, status, status of"
flip_coin,"This intent is about: coin, flip, flip coin, tails, coin flip, heads, or tails, heads or"
food_last,"This intent is about: in the, fridge, the fridge, how long, long, in, the, how"
freeze_account,"This intent is about: account, bank account, my account, my, bank, my bank, on my, freeze"
fun_fact,"This intent is about: about, fact, fun, fact about, trivia, fun fact, tell me, me"
gas,"This intent is about: gas, tank, much gas, have, my gas, how much, gas tank, of gas"
gas_type,"This intent is about: car, gas, this car, of gas, this, of, type, kind of"
goodbye,"This intent is about: later, goodbye, bye, it was, you, see you, see, with you"
greeting,"This intent is about: how, how are, you, hello, are you, are, doing, you doing"
how_busy,"This intent is about: busy, at, wait, how busy, how, around, busy is, be"
how_old_are_you,"This intent is about: old, how old, you, age, how, your, are, are you"
improve_credit_score,"This intent is about: score, credit score, credit, my credit, my, improve, improve my, hurt"
income,"This intent is about: income, my income, my, how much, much, salary, what, how"
ingredient_substitution,"This intent is about: substitute, can, instead, instead of, can use, milk, for, use"
ingredients_list,"This intent is about: ingredients, what ingredients, what, to make, make, ingredients are, do need, do"
insurance,"This intent is about: benefits, health, insurance, my health, plan, my insurance, health benefits, what"
insurance_change,"This intent is about: insurance, new, new insurance, plan, insurance plan, my insurance, insurance policy, policy"
interest_rate,"This intent is about: interest, interest rate, rate, the interest, my interest, my, account, rate for"
international_fees,"This intent is about: fees, card in, card, transaction fees, transaction, in, if, if use"
international_visa,"This intent is about: visa, visa to, to, do need, need, need visa, do, travel"
jump_start,"This intent is about: jump, car, jump start, start, battery, to jump, my car, car battery"
last_maintenance,"This intent is about: last, car, my car, when, was, shop, my, when did"
lost_luggage,"This intent is about: luggage, my luggage, lost, my, ab123, flight, flight ab123, luggage is"
make_call,"This intent is about: call, phone, dial, to call, call to, phone call, to, you call"
maybe,"This intent is about: either, maybe, not, it, sure, answer, could be, that"
meal_suggestion,"This intent is about: meal, dinner, suggest, for dinner, suggestion, meal from, me, suggest meal"
meaning_of_life,"This intent is about: life, meaning, of life, meaning of, the meaning, of, the, what"
measurement_conversion,"This intent is about: inches, convert, how, are in, how many, many, in, centimeters"
meeting_schedule,"This intent is about: meetings, today, any meetings, do have, any, have, meeting, with"
min_payment,"This intent is about: minimum, payment, bill, minimum payment, the minimum, the, pay, can pay"
mpg,"This intent is about: mpg, car, this car, this, the, does this, car get, mileage"
new_card,"This intent is about: apply, apply for, card, to apply, new credit, for, new, credit card"
next_holiday,"This intent is about: next, holiday, day, the next, off, day off, when, next day"
next_song,"This intent is about: song, next, the next, next song, play, play the, the, this"
no,"This intent is about: that, no, that is, not, false, is, no that, wrong"
nutrition_info,"This intent is about: nutritional, nutrition, the nutritional, info, healthy, info for, the nutrition, the"
oil_change_how,"This intent is about: oil, change, to change, change my, car, the oil, oil in, my car"
oil_change_when,"This intent is about: oil, change, my oil, when, oil change, changed, should, my"
order,"This intent is about: order, everything, shopping, you order, shopping list, order me, everything on, list"
order_checks,"This intent is about: checks, more, order, checkbooks, more checkbooks, more checks, for my, checks for"
order_status,"This intent is about: order, my order, package, my package, my, status, the status, status of"
pay_bill,"This intent is about: bill, pay, pay my, to pay, my, electric, help, paying my"
payday,"This intent is about: paycheck, when, my next, paid, next, next paycheck, payday, last"
pin_change,"This intent is about: pin, my pin, pin number, account, number, my, change, for my"
play_music,"This intent is about: play, music, playlist, you play, song, by, some music, hear"
plug_type,"This intent is about: plug, converter, in, socket, plug converter, socket converter, need, do need"
pto_balance,"This intent is about: vacation, days, vacation days, have, many, how many, many vacation, do have"
pto_request,"This intent is about: request, pto, pto request, request for, vacation, for, march, to"
pto_request_status,"This intent is about: vacation, request, my vacation, vacation request, approved, my day, my, day off"
pto_used,"This intent is about: days, used, have, how many, many, taken, off, how"
recipe,"This intent is about: recipe, recipe for, make, pie, me recipe, to make, how, find"
redeem_rewards,"This intent is about: points, card points, credit card, card, credit, my credit, redeem, my"
reminder,"This intent is about: reminders, list, reminder list, reminder, my reminder, my list, my, my reminders"
reminder_update,"This intent is about: reminder, set reminder, remind, remind me, set, reminder to, to, me to"
repeat,"This intent is about: repeat, again, that, you, say, said, repeat that, please"
replacement_card_duration,"This intent is about: card, new card, new, how long, long, replacement, replacement card, will"
report_fraud,"This intent is about: fraudulent, on my, activity, on, report, fraudulent activity, activity on, fraudulent transaction"
report_lost_card,"This intent is about: report, lost, card, to report, stolen, my, report my, my card"
reset_settings,"This intent is about: settings, factory, factory settings, back, back to, reset, to, original"
restaurant_reservation,"This intent is about: at, for, for at, table, table for, reservation, reservation for, pm"
restaurant_reviews,"This intent is about: reviews, are the, good, are, the reviews, the, ratings, the ratings"
restaurant_suggestion,"This intent is about: restaurants, good, in, restaurants in, restaurant, any good, any, are"
rewards_balance,"This intent is about: rewards, points, card, my, on my, balance, on, how many"
roll_dice,"This intent is about: roll, dice, sided, sided dice, you roll, die, the dice, roll dice"
rollover_401k,"This intent is about: 401k, my 401k, rollover, my, rollover my, to rollover, new job, job"
routing,"This intent is about: routing, routing number, number, number for, the routing, my routing, my, for"
schedule_maintenance,"This intent is about: schedule, maintenance, an, check, appointment, engine light, engine, light"
schedule_meeting,"This intent is about: meeting, schedule meeting, schedule, meeting with, with, rooms, you schedule, meeting room"
share_location,"This intent is about: location, my location, my, share, share my, gps, my gps, location with"
shopping_list,"This intent is about: shopping, shopping list, list, my shopping, on, on my, my, what"
shopping_list_update,"This intent is about: shopping, list, shopping list, my shopping, add, my, on, on my"
smart_home,"This intent is about: turn, the, lights, on, fan, door, please, tv"
spelling,"This intent is about: spell, how, to spell, you spell, how to, know how, how do, do you"
spending_history,"This intent is about: spent, how much, much, spend, have spent, did spend, on, have"
sync_device,"This intent is about: phone, my phone, my, disconnect, from my, disconnect from, connect, please"
taxes,"This intent is about: taxes, pay, how much, much, pay in, state, tax, state taxes"
tell_joke,"This intent is about: joke, funny, tell, tell me, me, me joke, about, something"
text,"This intent is about: text, send, send text, and tell, message, and, text message, to"
thank_you,"This intent is about: thanks, thank, thank you, appreciate, thanks for, you, answer, your"
time,"This intent is about: time, what time, the time, time is, what, is it, is, the"
timer,"This intent is about: timer, set, timer for, minutes, set timer, minute, minute timer, for"
timezone,"This intent is about: timezone, what timezone, timezone is, in, is, what, the timezone, time zone"
tire_change,"This intent is about: tires, my tires, when, should, changed, my, when should, replaced"
tire_pressure,"This intent is about: tires, pressure, my tires, air, tire, tire pressure, my, in my"
todo_list,"This intent is about: list, to do, do list, my to, do, to, on my, on"
todo_list_update,"This intent is about: list, to do, do list, my to, to, do, my, add"
traffic,"This intent is about: traffic, the traffic, the, way to, way, on the, the way, on"
transactions,"This intent is about: transactions, transaction, show, recent, last, show me, my, me"
transfer,"This intent is about: transfer, from, account, to, checking, dollars, money, account to"
translate,"This intent is about: say, in, how, hello, french, spanish, translate, how do"
travel_alert,"This intent is about: travel, alerts, travel alerts, any travel, alerts for, any, there, safe"
travel_notification,"This intent is about: bank, my bank, to, traveling, bank know, inform my, let, inform"
travel_suggestion,"This intent is about: do in, in, do, to do, things, what, some, to"
uber,"This intent is about: uber, an uber, an, uber to, to, to the, uber for, need an"
update_playlist,"This intent is about: playlist, add, to my, my playlist, by, to, my, song"
user_name,"This intent is about: name, my name, you, me, what, do you, as, do"
vaccines,"This intent is about: shots, to, before, do need, need, vaccinations, travel, get"
w2,"This intent is about: w2, where, form, get, my w2, where can, my, can"
weather,"This intent is about: weather, the weather, the, what, is, it, forecast, like"
what_are_your_hobbies,"This intent is about: hobbies, do, do you, you, your, what, your hobbies, you enjoy"
what_can_i_ask_you,"This intent is about: you, what, ask, ask you, can, of, can ask, questions"
what_is_your_name,"This intent is about: name, you, your name, your, call you, what, call, what name"
what_song,"This intent is about: song, this, this song, playing, what, of this, the, name"
where_are_you_from,"This intent is about: where, you, were, your, were you, born, where did, did you"
whisper_mode,"This intent is about: whisper, mode, whisper mode, to whisper, whisper voice, voice, switch, please"
who_do_you_work_for,"This intent is about: who, you, work for, work, you work, boss, your, your boss"
who_made_you,"This intent is about: who, you, made, who made, ai, company, made you, your"
yes,"This intent is about: yes, that, true, that is, yes that, is, correct, affirmative"
